,Title,Published_date,Views,Likes,Dislikes,Comments,Month
260,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1242,40,0,2,May
261,Should You Learn R for Data Science?,2019-04-25,20749,557,0,71,Apr
262,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46348,856,0,334,Apr
263,Work From Home Data Scientist: Day in the Life,2019-04-12,28065,760,0,101,Apr
264,Where to Look for Data Science Jobs,2019-03-29,3002,120,0,9,Mar
265,Data Science: Startup vs. Large Corporation,2019-03-21,2114,74,0,4,Mar
266,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6137,175,0,26,Mar
267,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4172,180,0,15,Mar
268,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,802,33,0,12,Mar
269,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1434,35,0,8,Mar
270,Where YOU Should Start With Data Science Projects,2019-02-19,16583,344,0,17,Feb
271,Watch This Before Applying to Data Science Jobs,2019-02-04,1488,66,0,13,Feb
272,My Top 5 Data Science Resources for 2019,2019-01-05,3693,122,0,17,Jan
273,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,832,36,0,6,Dec
274,The Best Way to Predict NBA Minutes Played,2018-12-11,4230,107,0,14,Dec
275,Demystifying Data Science Roles,2018-11-30,1129,53,0,5,Nov
276,How to Simulate NBA Games in Python,2018-11-19,17615,390,0,54,Nov
277,Should You Get A Masters in Data Science?,2018-11-14,20507,305,0,135,Nov
278,How I Became A Data Scientist From a Business Background,2018-11-12,6435,196,0,23,Nov
279,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8641,193,0,17,Jul
280,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,18862,292,0,41,Nov
